from_city,to_city,airline,flight_number,departure,arrival,price,currency
Hong Kong,Frankfurt,Alitalia,AL616,2025-08-16T15:25,2025-08-17T02:25,1322,USD
Sydney,Dubai,Singapore Airlines,SI938,2025-07-30T15:25,2025-07-31T00:25,1131,USD
Tokyo,Chicago,Emirates,EM378,2025-08-07T15:25,2025-08-07T19:25,1404,USD
Los Angeles,Sydney,Air France,AI526,2025-09-25T15:25,2025-09-26T02:25,996,USD
Beijing,Bangkok,Lufthansa,LU806,2025-07-10T15:25,2025-07-11T05:25,272,USD
Toronto,Sydney,Air China,AI662,2025-11-19T15:25,2025-11-20T05:25,842,USD
New York,Moscow,Emirates,EM650,2025-08-09T15:25,2025-08-09T19:25,297,USD
Tokyo,Beijing,United Airlines,UN215,2025-07-07T15:25,2025-07-07T19:25,958,USD
Dubai,Istanbul,Air France,AI837,2025-09-24T15:25,2025-09-25T00:25,1193,USD
Moscow,Rome,Alitalia,AL355,2025-09-11T15:25,2025-09-11T21:25,789,USD
Singapore,Frankfurt,Air France,AI226,2025-10-30T15:25,2025-10-31T02:25,1028,USD
Moscow,Bangkok,Qantas,QA989,2025-06-09T15:25,2025-06-09T22:25,1308,USD
New York,Madrid,British Airways,BR891,2025-09-20T15:25,2025-09-21T01:25,842,USD
Sydney,Istanbul,Air China,AI443,2025-10-11T15:25,2025-10-11T21:25,106,USD
Beijing,Hong Kong,Air China,AI282,2025-11-19T15:25,2025-11-19T18:25,1049,USD
Toronto,New York,Air China,AI687,2025-10-15T15:25,2025-10-16T01:25,318,USD
Dubai,Madrid,Lufthansa,LU716,2025-09-09T15:25,2025-09-10T02:25,273,USD
Chicago,Sydney,Turkish Airlines,TU447,2025-07-19T15:25,2025-07-19T19:25,355,USD
Dubai,Melbourne,Lufthansa,LU293,2025-07-28T15:25,2025-07-29T02:25,318,USD
Tokyo,Toronto,Alitalia,AL413,2025-08-05T15:25,2025-08-05T18:25,633,USD
New York,Frankfurt,Qantas,QA469,2025-09-01T15:25,2025-09-01T19:25,1047,USD
New York,Singapore,Air France,AI219,2025-08-10T15:25,2025-08-10T21:25,307,USD
Tokyo,Madrid,British Airways,BR202,2025-10-13T15:25,2025-10-13T23:25,259,USD
Moscow,Delhi,Air India,AI835,2025-07-10T15:25,2025-07-11T04:25,837,USD
Rome,Hong Kong,Lufthansa,LU392,2025-06-27T15:25,2025-06-28T03:25,1080,USD
Bangkok,Hong Kong,American Airlines,AM215,2025-07-01T15:25,2025-07-02T05:25,1037,USD
Tokyo,Melbourne,Turkish Airlines,TU753,2025-09-15T15:25,2025-09-15T23:25,1287,USD
London,Rome,Singapore Airlines,SI229,2025-08-27T15:25,2025-08-28T04:25,937,USD
Frankfurt,Madrid,Emirates,EM109,2025-09-14T15:25,2025-09-15T05:25,275,USD
Tokyo,Rome,United Airlines,UN992,2025-08-07T15:25,2025-08-07T21:25,606,USD
Bangkok,Los Angeles,American Airlines,AM784,2025-11-10T15:25,2025-11-10T20:25,1205,USD
Dubai,Istanbul,Qantas,QA448,2025-11-06T15:25,2025-11-07T00:25,242,USD
Moscow,Bangkok,British Airways,BR531,2025-11-15T15:25,2025-11-15T22:25,341,USD
Los Angeles,Delhi,British Airways,BR209,2025-06-28T15:25,2025-06-29T01:25,504,USD
Delhi,Rome,Japan Airlines,JA875,2025-06-05T15:25,2025-06-06T02:25,470,USD
Sydney,Paris,Air India,AI484,2025-06-24T15:25,2025-06-24T22:25,1242,USD
Chicago,Beijing,Turkish Airlines,TU516,2025-07-22T15:25,2025-07-23T00:25,748,USD
New York,Rome,Air France,AI736,2025-09-22T15:25,2025-09-23T03:25,232,USD
Madrid,Hong Kong,Delta,DE169,2025-08-29T15:25,2025-08-30T06:25,178,USD
London,Singapore,Air India,AI575,2025-10-03T15:25,2025-10-03T23:25,679,USD
Dubai,Tokyo,Emirates,EM700,2025-11-13T15:25,2025-11-13T22:25,534,USD
Istanbul,Paris,Air France,AI294,2025-08-26T15:25,2025-08-27T00:25,320,USD
New York,Delhi,Singapore Airlines,SI225,2025-11-22T15:25,2025-11-23T01:25,575,USD
Frankfurt,Melbourne,Alitalia,AL482,2025-07-27T15:25,2025-07-27T19:25,1070,USD
Madrid,London,Japan Airlines,JA398,2025-08-03T15:25,2025-08-04T00:25,635,USD
Dubai,Moscow,Delta,DE846,2025-09-18T15:25,2025-09-18T20:25,84,USD
Bangkok,Beijing,Alitalia,AL894,2025-08-19T15:25,2025-08-19T21:25,1058,USD
Moscow,Rome,Air China,AI696,2025-08-23T15:25,2025-08-24T06:25,575,USD
Singapore,London,Emirates,EM883,2025-09-03T15:25,2025-09-03T20:25,297,USD
Los Angeles,Dubai,United Airlines,UN556,2025-08-25T15:25,2025-08-25T18:25,283,USD
Frankfurt,Beijing,Turkish Airlines,TU743,2025-07-24T15:25,2025-07-24T18:25,1260,USD
Paris,Chicago,United Airlines,UN362,2025-10-08T15:25,2025-10-08T19:25,1041,USD
London,Madrid,Air China,AI940,2025-09-25T15:25,2025-09-25T17:25,1436,USD
Delhi,Beijing,Emirates,EM884,2025-09-18T15:25,2025-09-19T02:25,1305,USD
Singapore,New York,Air France,AI987,2025-10-30T15:25,2025-10-30T19:25,602,USD
Hong Kong,Dubai,Air France,AI860,2025-08-22T15:25,2025-08-23T05:25,610,USD
Hong Kong,Madrid,Cathay Pacific,CA797,2025-09-16T15:25,2025-09-17T05:25,109,USD
Dubai,Paris,Air China,AI345,2025-09-14T15:25,2025-09-14T18:25,1153,USD
Singapore,Rome,Japan Airlines,JA464,2025-11-12T15:25,2025-11-12T19:25,966,USD
Delhi,Frankfurt,Cathay Pacific,CA171,2025-07-11T15:25,2025-07-11T17:25,1399,USD
Madrid,Chicago,Air India,AI581,2025-09-25T15:25,2025-09-26T04:25,1287,USD
Frankfurt,Tokyo,Cathay Pacific,CA901,2025-09-15T15:25,2025-09-16T05:25,623,USD
Los Angeles,Dubai,Singapore Airlines,SI302,2025-06-11T15:25,2025-06-12T05:25,1307,USD
Los Angeles,Tokyo,Air China,AI468,2025-08-01T15:25,2025-08-02T05:25,283,USD
Frankfurt,Madrid,Qantas,QA541,2025-08-13T15:25,2025-08-13T19:25,432,USD
Paris,Delhi,Lufthansa,LU155,2025-11-30T15:25,2025-12-01T02:25,345,USD
Chicago,Singapore,Lufthansa,LU707,2025-08-28T15:25,2025-08-29T03:25,225,USD
Bangkok,Toronto,American Airlines,AM921,2025-10-23T15:25,2025-10-24T00:25,1074,USD
Singapore,Dubai,Delta,DE187,2025-10-13T15:25,2025-10-13T18:25,534,USD
Bangkok,Melbourne,Alitalia,AL819,2025-08-07T15:25,2025-08-08T04:25,497,USD
Singapore,Dubai,Emirates,EM652,2025-08-20T15:25,2025-08-21T06:25,710,USD
Delhi,New York,Cathay Pacific,CA565,2025-09-22T15:25,2025-09-23T02:25,905,USD
Sydney,Dubai,Delta,DE563,2025-07-29T15:25,2025-07-29T18:25,148,USD
Toronto,Singapore,Emirates,EM229,2025-08-11T15:25,2025-08-11T20:25,513,USD
Moscow,Sydney,Delta,DE910,2025-11-30T15:25,2025-12-01T03:25,395,USD
Beijing,Hong Kong,American Airlines,AM867,2025-11-15T15:25,2025-11-16T00:25,842,USD
Melbourne,Istanbul,Cathay Pacific,CA231,2025-06-26T15:25,2025-06-27T00:25,108,USD
Moscow,Sydney,Alitalia,AL316,2025-09-05T15:25,2025-09-05T21:25,1441,USD
Beijing,Moscow,Alitalia,AL595,2025-06-08T15:25,2025-06-09T00:25,1424,USD
New York,Chicago,Singapore Airlines,SI591,2025-06-24T15:25,2025-06-25T05:25,1495,USD
Madrid,New York,Qantas,QA910,2025-06-26T15:25,2025-06-26T22:25,1210,USD
Bangkok,Frankfurt,Air India,AI362,2025-10-08T15:25,2025-10-08T17:25,858,USD
Hong Kong,Rome,Alitalia,AL402,2025-10-21T15:25,2025-10-22T00:25,1334,USD
Istanbul,Madrid,British Airways,BR879,2025-07-06T15:25,2025-07-06T21:25,704,USD
Tokyo,London,Japan Airlines,JA167,2025-06-14T15:25,2025-06-14T23:25,1113,USD
New York,Melbourne,Lufthansa,LU500,2025-07-13T15:25,2025-07-14T02:25,1443,USD
Rome,Dubai,Delta,DE373,2025-08-29T15:25,2025-08-29T19:25,1407,USD
New York,Toronto,Air India,AI939,2025-09-01T15:25,2025-09-01T23:25,881,USD
Madrid,Singapore,Qantas,QA378,2025-06-04T15:25,2025-06-04T20:25,577,USD
Beijing,Delhi,Air India,AI708,2025-08-04T15:25,2025-08-05T06:25,1323,USD
London,Delhi,Delta,DE870,2025-08-28T15:25,2025-08-29T03:25,672,USD
New York,Singapore,Air India,AI428,2025-06-24T15:25,2025-06-25T02:25,1033,USD
Hong Kong,Tokyo,Lufthansa,LU993,2025-06-19T15:25,2025-06-20T05:25,1460,USD
Rome,Chicago,Cathay Pacific,CA494,2025-09-20T15:25,2025-09-21T02:25,562,USD
Moscow,Madrid,United Airlines,UN110,2025-08-01T15:25,2025-08-01T18:25,743,USD
Singapore,Dubai,American Airlines,AM317,2025-06-08T15:25,2025-06-08T21:25,337,USD
Singapore,Frankfurt,Air India,AI313,2025-07-06T15:25,2025-07-06T18:25,241,USD
Tokyo,Dubai,Lufthansa,LU868,2025-08-13T15:25,2025-08-13T21:25,350,USD
Tokyo,Dubai,Cathay Pacific,CA902,2025-09-09T15:25,2025-09-10T00:25,871,USD
Istanbul,Madrid,Air France,AI158,2025-09-25T15:25,2025-09-25T20:25,442,USD
Los Angeles,Chicago,Japan Airlines,JA373,2025-07-01T15:25,2025-07-01T21:25,189,USD
Beijing,Moscow,British Airways,BR288,2025-07-11T15:25,2025-07-11T23:25,621,USD
Chicago,Tokyo,Turkish Airlines,TU654,2025-09-17T15:25,2025-09-18T00:25,86,USD
New York,Los Angeles,United Airlines,UN456,2025-06-30T15:25,2025-06-30T20:25,1461,USD
London,Chicago,Alitalia,AL356,2025-09-13T15:25,2025-09-14T01:25,89,USD
Tokyo,Singapore,Emirates,EM822,2025-06-10T15:25,2025-06-11T00:25,1490,USD
Los Angeles,Dubai,Turkish Airlines,TU215,2025-11-16T15:25,2025-11-16T18:25,194,USD
Hong Kong,Chicago,Air France,AI347,2025-08-08T15:25,2025-08-09T05:25,199,USD
London,Moscow,Emirates,EM189,2025-09-12T15:25,2025-09-13T06:25,914,USD
Melbourne,Bangkok,Air France,AI690,2025-06-28T15:25,2025-06-29T06:25,639,USD
Paris,Beijing,United Airlines,UN754,2025-06-30T15:25,2025-06-30T18:25,623,USD
Toronto,London,Emirates,EM154,2025-06-18T15:25,2025-06-18T22:25,1390,USD
Hong Kong,Melbourne,United Airlines,UN889,2025-06-27T15:25,2025-06-27T21:25,1314,USD
Bangkok,Delhi,Japan Airlines,JA876,2025-11-11T15:25,2025-11-12T04:25,460,USD
Madrid,Beijing,Air India,AI860,2025-11-16T15:25,2025-11-17T02:25,1286,USD
New York,Frankfurt,Delta,DE968,2025-11-27T15:25,2025-11-28T02:25,114,USD
Rome,Paris,Singapore Airlines,SI666,2025-07-12T15:25,2025-07-12T19:25,122,USD
Dubai,New York,Qantas,QA790,2025-09-24T15:25,2025-09-25T03:25,1217,USD
Los Angeles,Singapore,Alitalia,AL491,2025-08-09T15:25,2025-08-09T18:25,822,USD
Madrid,Delhi,Alitalia,AL109,2025-09-23T15:25,2025-09-24T06:25,826,USD
Bangkok,Delhi,Qantas,QA251,2025-07-27T15:25,2025-07-28T05:25,1138,USD
Istanbul,Delhi,American Airlines,AM637,2025-06-15T15:25,2025-06-16T05:25,201,USD
Tokyo,Beijing,Japan Airlines,JA441,2025-07-19T15:25,2025-07-20T05:25,571,USD
Hong Kong,Madrid,American Airlines,AM376,2025-09-07T15:25,2025-09-08T06:25,147,USD
Singapore,Beijing,Emirates,EM723,2025-06-10T15:25,2025-06-11T05:25,132,USD
Toronto,Singapore,Singapore Airlines,SI392,2025-11-06T15:25,2025-11-06T19:25,315,USD
Bangkok,Tokyo,Alitalia,AL679,2025-06-04T15:25,2025-06-05T02:25,820,USD
Sydney,Rome,Qantas,QA589,2025-07-03T15:25,2025-07-04T04:25,228,USD
Singapore,Madrid,Emirates,EM987,2025-09-16T15:25,2025-09-16T18:25,695,USD
Los Angeles,Paris,Japan Airlines,JA921,2025-11-16T15:25,2025-11-16T21:25,1348,USD
Paris,Toronto,Japan Airlines,JA399,2025-10-16T15:25,2025-10-16T20:25,1325,USD
New York,Chicago,British Airways,BR725,2025-06-13T15:25,2025-06-14T05:25,1423,USD
London,Tokyo,Air France,AI807,2025-09-19T15:25,2025-09-20T01:25,161,USD
Beijing,Delhi,Air France,AI779,2025-10-01T15:25,2025-10-01T23:25,713,USD
Tokyo,Los Angeles,Lufthansa,LU333,2025-08-23T15:25,2025-08-23T18:25,212,USD
Tokyo,Melbourne,United Airlines,UN859,2025-08-18T15:25,2025-08-18T20:25,1320,USD
Istanbul,Hong Kong,Air India,AI688,2025-10-26T15:25,2025-10-27T04:25,1227,USD
Paris,Rome,Air China,AI888,2025-08-09T15:25,2025-08-09T22:25,138,USD
London,Hong Kong,British Airways,BR954,2025-10-25T15:25,2025-10-25T20:25,349,USD
Beijing,London,Delta,DE589,2025-09-30T15:25,2025-10-01T00:25,621,USD
Hong Kong,Madrid,Cathay Pacific,CA749,2025-11-13T15:25,2025-11-14T06:25,234,USD
Frankfurt,Delhi,Cathay Pacific,CA220,2025-11-18T15:25,2025-11-18T22:25,797,USD
Sydney,Moscow,Delta,DE182,2025-08-31T15:25,2025-09-01T05:25,908,USD
New York,Dubai,British Airways,BR904,2025-06-05T15:25,2025-06-05T20:25,320,USD
Rome,Sydney,Japan Airlines,JA653,2025-06-29T15:25,2025-06-30T03:25,461,USD
Tokyo,Istanbul,Air China,AI628,2025-10-16T15:25,2025-10-16T19:25,371,USD
Bangkok,Singapore,Alitalia,AL412,2025-07-24T15:25,2025-07-24T19:25,1426,USD
Dubai,Delhi,Air France,AI295,2025-11-28T15:25,2025-11-29T00:25,717,USD
Toronto,Madrid,Lufthansa,LU116,2025-11-15T15:25,2025-11-15T19:25,1190,USD
Paris,Tokyo,United Airlines,UN229,2025-10-17T15:25,2025-10-17T20:25,662,USD
Hong Kong,Paris,Alitalia,AL531,2025-08-07T15:25,2025-08-08T05:25,398,USD
Rome,Tokyo,Emirates,EM663,2025-06-29T15:25,2025-06-29T17:25,573,USD
Dubai,Paris,Alitalia,AL180,2025-10-19T15:25,2025-10-19T21:25,900,USD
Rome,Melbourne,Turkish Airlines,TU783,2025-09-11T15:25,2025-09-11T18:25,317,USD
Toronto,Dubai,Air China,AI777,2025-07-08T15:25,2025-07-09T04:25,831,USD
Paris,Hong Kong,Lufthansa,LU315,2025-11-29T15:25,2025-11-30T02:25,553,USD
Delhi,Frankfurt,Emirates,EM641,2025-06-23T15:25,2025-06-23T19:25,712,USD
Chicago,Moscow,Emirates,EM504,2025-10-05T15:25,2025-10-05T19:25,1211,USD
Paris,Delhi,Lufthansa,LU287,2025-09-26T15:25,2025-09-27T06:25,625,USD
Delhi,Toronto,Turkish Airlines,TU467,2025-09-13T15:25,2025-09-14T02:25,1242,USD
Toronto,Tokyo,Turkish Airlines,TU387,2025-07-18T15:25,2025-07-18T23:25,219,USD
Dubai,Toronto,Delta,DE649,2025-09-11T15:25,2025-09-11T19:25,853,USD
Bangkok,Hong Kong,Air China,AI764,2025-06-30T15:25,2025-06-30T22:25,917,USD
Delhi,Rome,Delta,DE765,2025-08-06T15:25,2025-08-07T06:25,947,USD
Bangkok,Los Angeles,Alitalia,AL210,2025-08-06T15:25,2025-08-07T01:25,664,USD
Moscow,Delhi,Air India,AI106,2025-08-07T15:25,2025-08-08T05:25,259,USD
Bangkok,Hong Kong,Japan Airlines,JA323,2025-06-05T15:25,2025-06-06T00:25,625,USD
Bangkok,Hong Kong,Turkish Airlines,TU997,2025-11-30T15:25,2025-12-01T02:25,104,USD
New York,Frankfurt,Singapore Airlines,SI215,2025-06-22T15:25,2025-06-22T20:25,954,USD
Dubai,Moscow,Lufthansa,LU501,2025-06-30T15:25,2025-07-01T02:25,1001,USD
Istanbul,Hong Kong,Emirates,EM222,2025-10-23T15:25,2025-10-24T01:25,352,USD
Hong Kong,Sydney,American Airlines,AM961,2025-09-29T15:25,2025-09-30T04:25,637,USD
Frankfurt,Singapore,American Airlines,AM512,2025-06-21T15:25,2025-06-22T05:25,1275,USD
Los Angeles,Frankfurt,British Airways,BR982,2025-11-13T15:25,2025-11-13T17:25,870,USD
Singapore,Toronto,United Airlines,UN346,2025-10-21T15:25,2025-10-21T23:25,215,USD
Madrid,Los Angeles,Air India,AI864,2025-10-24T15:25,2025-10-25T04:25,1339,USD
Frankfurt,Beijing,United Airlines,UN636,2025-09-25T15:25,2025-09-25T22:25,403,USD
Frankfurt,Beijing,United Airlines,UN129,2025-10-18T15:25,2025-10-18T21:25,1332,USD
Toronto,Los Angeles,Emirates,EM469,2025-06-14T15:25,2025-06-14T20:25,1339,USD
Chicago,Moscow,Turkish Airlines,TU220,2025-11-10T15:25,2025-11-11T06:25,571,USD
Istanbul,Frankfurt,Lufthansa,LU441,2025-09-01T15:25,2025-09-02T03:25,1214,USD
Melbourne,Beijing,British Airways,BR666,2025-08-22T15:25,2025-08-22T19:25,982,USD
Bangkok,Toronto,Japan Airlines,JA217,2025-08-22T15:25,2025-08-23T01:25,571,USD
Delhi,London,Delta,DE980,2025-08-13T15:25,2025-08-13T22:25,1199,USD
Sydney,Frankfurt,Japan Airlines,JA271,2025-10-27T15:25,2025-10-28T03:25,767,USD
Frankfurt,Singapore,Air India,AI712,2025-09-02T15:25,2025-09-03T02:25,348,USD
Moscow,Melbourne,Singapore Airlines,SI144,2025-07-23T15:25,2025-07-23T17:25,1285,USD
Delhi,Los Angeles,Lufthansa,LU215,2025-09-05T15:25,2025-09-05T23:25,798,USD
Delhi,Toronto,British Airways,BR712,2025-07-04T15:25,2025-07-05T02:25,934,USD
Frankfurt,Paris,Air France,AI991,2025-10-22T15:25,2025-10-22T18:25,285,USD
Dubai,Frankfurt,Qantas,QA395,2025-09-10T15:25,2025-09-11T01:25,629,USD
Melbourne,Frankfurt,Alitalia,AL127,2025-08-12T15:25,2025-08-13T04:25,536,USD
Singapore,Hong Kong,Air India,AI858,2025-08-10T15:25,2025-08-11T04:25,1310,USD
Frankfurt,Madrid,Singapore Airlines,SI756,2025-10-24T15:25,2025-10-25T06:25,554,USD
Toronto,London,Air France,AI128,2025-07-30T15:25,2025-07-31T04:25,282,USD
Chicago,Singapore,Japan Airlines,JA488,2025-06-27T15:25,2025-06-27T23:25,155,USD
Chicago,Toronto,Qantas,QA636,2025-08-23T15:25,2025-08-23T22:25,403,USD
Istanbul,Dubai,British Airways,BR677,2025-08-17T15:25,2025-08-17T18:25,1181,USD
Rome,Frankfurt,Delta,DE457,2025-08-25T15:25,2025-08-26T05:25,768,USD
Chicago,Toronto,Alitalia,AL399,2025-10-23T15:25,2025-10-24T03:25,160,USD
Singapore,Melbourne,Air China,AI994,2025-07-14T15:25,2025-07-15T04:25,943,USD
Delhi,Tokyo,Emirates,EM364,2025-11-28T15:25,2025-11-29T06:25,542,USD
Los Angeles,New York,Air China,AI490,2025-07-27T15:25,2025-07-27T20:25,599,USD
Madrid,Rome,Lufthansa,LU141,2025-10-06T15:25,2025-10-07T03:25,345,USD
Moscow,Hong Kong,Delta,DE591,2025-08-21T15:25,2025-08-21T20:25,158,USD
Istanbul,Los Angeles,Lufthansa,LU629,2025-11-28T15:25,2025-11-29T01:25,538,USD
Moscow,Istanbul,Lufthansa,LU915,2025-09-04T15:25,2025-09-05T05:25,501,USD
Frankfurt,Chicago,British Airways,BR733,2025-11-11T15:25,2025-11-12T06:25,1293,USD
Rome,Tokyo,Lufthansa,LU520,2025-10-13T15:25,2025-10-14T04:25,1081,USD
Rome,Toronto,Emirates,EM383,2025-10-12T15:25,2025-10-12T20:25,444,USD
New York,Tokyo,Cathay Pacific,CA107,2025-09-28T15:25,2025-09-28T23:25,93,USD
London,Paris,Air India,AI385,2025-06-21T15:25,2025-06-22T05:25,1160,USD
Madrid,Beijing,Delta,DE104,2025-10-21T15:25,2025-10-22T03:25,627,USD
Bangkok,Melbourne,United Airlines,UN508,2025-09-14T15:25,2025-09-14T21:25,1346,USD
Hong Kong,Singapore,Japan Airlines,JA370,2025-08-30T15:25,2025-08-30T23:25,330,USD
Los Angeles,Istanbul,American Airlines,AM299,2025-07-24T15:25,2025-07-25T03:25,1025,USD
London,Dubai,Cathay Pacific,CA704,2025-08-09T15:25,2025-08-10T01:25,740,USD
Chicago,Rome,British Airways,BR730,2025-07-07T15:25,2025-07-08T04:25,606,USD
Dubai,Bangkok,Air India,AI725,2025-08-27T15:25,2025-08-28T02:25,598,USD
Sydney,Frankfurt,American Airlines,AM870,2025-10-21T15:25,2025-10-22T01:25,1473,USD
Beijing,Bangkok,Air China,AI486,2025-09-27T15:25,2025-09-28T05:25,1480,USD
Moscow,Dubai,Alitalia,AL297,2025-07-07T15:25,2025-07-07T21:25,124,USD
Moscow,Hong Kong,United Airlines,UN865,2025-10-30T15:25,2025-10-30T17:25,1082,USD
New York,Paris,Air India,AI884,2025-06-20T15:25,2025-06-21T03:25,979,USD
Melbourne,Hong Kong,United Airlines,UN456,2025-08-09T15:25,2025-08-09T22:25,1174,USD
Frankfurt,Tokyo,American Airlines,AM650,2025-06-27T15:25,2025-06-27T19:25,1180,USD
Tokyo,Rome,Lufthansa,LU381,2025-11-18T15:25,2025-11-19T03:25,1261,USD
Rome,Hong Kong,Delta,DE762,2025-11-01T15:25,2025-11-02T06:25,146,USD
Rome,Chicago,Turkish Airlines,TU600,2025-07-31T15:25,2025-07-31T19:25,1354,USD
Toronto,Istanbul,Singapore Airlines,SI222,2025-10-25T15:25,2025-10-25T21:25,994,USD
Hong Kong,Chicago,Lufthansa,LU610,2025-07-07T15:25,2025-07-08T00:25,1251,USD
Madrid,Hong Kong,Delta,DE668,2025-11-04T15:25,2025-11-04T17:25,258,USD
Paris,Frankfurt,Alitalia,AL308,2025-09-10T15:25,2025-09-11T00:25,581,USD
Dubai,Moscow,Air France,AI427,2025-08-18T15:25,2025-08-19T03:25,404,USD
Beijing,Melbourne,American Airlines,AM741,2025-06-08T15:25,2025-06-08T21:25,1176,USD
Toronto,Paris,Delta,DE544,2025-10-25T15:25,2025-10-26T01:25,220,USD
Hong Kong,Chicago,Lufthansa,LU657,2025-08-05T15:25,2025-08-06T00:25,174,USD
Moscow,Beijing,Singapore Airlines,SI238,2025-09-10T15:25,2025-09-11T06:25,653,USD
Bangkok,Istanbul,Air France,AI624,2025-08-05T15:25,2025-08-05T23:25,958,USD
Beijing,Istanbul,British Airways,BR799,2025-08-31T15:25,2025-08-31T20:25,1436,USD
Singapore,New York,Delta,DE291,2025-11-29T15:25,2025-11-30T06:25,313,USD
London,Melbourne,British Airways,BR260,2025-10-13T15:25,2025-10-14T02:25,1349,USD
Sydney,London,American Airlines,AM225,2025-09-13T15:25,2025-09-14T03:25,1179,USD
Toronto,Delhi,Air India,AI910,2025-09-12T15:25,2025-09-13T03:25,734,USD
Madrid,Rome,Emirates,EM998,2025-07-24T15:25,2025-07-24T22:25,1252,USD
Dubai,London,Turkish Airlines,TU745,2025-06-11T15:25,2025-06-12T02:25,355,USD
Tokyo,Madrid,American Airlines,AM415,2025-08-22T15:25,2025-08-22T23:25,660,USD
Sydney,Dubai,United Airlines,UN588,2025-10-03T15:25,2025-10-03T17:25,1300,USD
Los Angeles,Singapore,Delta,DE913,2025-07-13T15:25,2025-07-14T03:25,1268,USD
London,Madrid,Lufthansa,LU500,2025-07-07T15:25,2025-07-08T02:25,967,USD
Sydney,Frankfurt,Cathay Pacific,CA758,2025-06-30T15:25,2025-07-01T02:25,1386,USD
Moscow,New York,American Airlines,AM297,2025-11-29T15:25,2025-11-29T21:25,1244,USD
Delhi,Hong Kong,Turkish Airlines,TU260,2025-06-09T15:25,2025-06-09T20:25,1362,USD
Hong Kong,Tokyo,Singapore Airlines,SI406,2025-08-21T15:25,2025-08-22T06:25,321,USD
Frankfurt,Rome,Cathay Pacific,CA646,2025-10-30T15:25,2025-10-31T06:25,739,USD
New York,Moscow,United Airlines,UN765,2025-10-23T15:25,2025-10-23T19:25,1213,USD
London,Hong Kong,Air India,AI276,2025-10-03T15:25,2025-10-03T20:25,1143,USD
Moscow,Bangkok,American Airlines,AM376,2025-08-05T15:25,2025-08-06T04:25,762,USD
Rome,Singapore,Lufthansa,LU776,2025-06-06T15:25,2025-06-07T05:25,1137,USD
Melbourne,Chicago,Delta,DE752,2025-10-26T15:25,2025-10-27T06:25,267,USD
Madrid,Dubai,Singapore Airlines,SI491,2025-07-06T15:25,2025-07-06T23:25,267,USD
Moscow,Madrid,Turkish Airlines,TU432,2025-10-08T15:25,2025-10-09T04:25,920,USD
Rome,Beijing,Alitalia,AL189,2025-10-12T15:25,2025-10-13T04:25,482,USD
Los Angeles,Paris,Singapore Airlines,SI216,2025-06-20T15:25,2025-06-21T04:25,1078,USD
Istanbul,Beijing,United Airlines,UN251,2025-06-17T15:25,2025-06-18T02:25,1145,USD
Rome,Frankfurt,Japan Airlines,JA536,2025-06-25T15:25,2025-06-26T06:25,393,USD
Sydney,Madrid,Japan Airlines,JA645,2025-11-07T15:25,2025-11-08T01:25,527,USD
Chicago,Tokyo,Air India,AI763,2025-07-06T15:25,2025-07-06T17:25,531,USD
Paris,Istanbul,United Airlines,UN979,2025-09-10T15:25,2025-09-10T22:25,702,USD
